hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-29c	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs are aberrantly expressed in hypertrophic heart: do they play a role in cardiac hypertrophy?
hsa-miR-29c	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-29c	nemaline myopathy (NM)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-29c	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-29c	pancreatic ductal adenocarcinoma (PDAC)	down-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-29c	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-29c	schizophrenia	down-regulated	microarray	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-29c	uterine leiomyoma (ULM)	down-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-301	follicular lymphoma (FL)	up-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-301	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-301	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-302a	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-302b	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-20a	malignant lymphoma	up-regulated	Northern blot, qRT-PCR etc	2005	A microRNA cluster as a target of genomic amplification in malignant lymphoma.
hsa-miR-20a	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-20a	primary biliary cirrhosis (PBC)	down-regulated	Northern blot, qRT-PCR etc	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-20a	prostate cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-20a	psoriasis	up-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-20a	serous ovarian cancer	up-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-20b	T-cell leukemia	up-regulated	Northern blot, qRT-PCR etc	2006	Oncogenic potential of the miR-106-363 cluster and its implication in human T-cell leukemia.
hsa-miR-20b	schizophrenia	down-regulated	microarray	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-21	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA expression profiles associated with prognosis and therapeutic outcome in colon adenocarcinoma.
hsa-miR-21	diffuse large B-cell lymphoma (DLBCL)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression distinguishes between germinal center B cell-like and activated B cell-like subtypes of diffuse large B cell lymphoma.
hsa-miR-21	diffuse large B-cell lymphoma (DLBCL)	up-regulated	Northern blot, qRT-PCR etc	2008	Detection of elevated levels of tumour-associated microRNAs in serum of patients with diffuse large B-cell lymphoma.
hsa-miR-21	lung cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-21	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA-21 is overexpressed in pancreatic cancer and a potential predictor of survival.
hsa-miR-21	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2007	miR-21-mediated tumor growth.
hsa-miR-21	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA-21 targets the tumor suppressor gene tropomyosin 1 (TPM1).
hsa-miR-21	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2007	Programmed cell death 4 (PDCD4) is an important functional target of the microRNA miR-21 in breast cancer cells.
hsa-miR-21	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA-21 targets tumor suppressor genes in invasion and metastasis.
hsa-miR-21	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA-21 promotes cell transformation by targeting the programmed cell death 4 gene.
hsa-miR-21	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs are aberrantly expressed in hypertrophic heart: do they play a role in cardiac hypertrophy?
hsa-miR-21	cholangiocarcinoma	up-regulated	Northern blot, qRT-PCR etc	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.
hsa-miR-21	Cowden Syndrome	up-regulated	Northern blot, qRT-PCR etc	2008	Differential expression of PTEN-targeting microRNAs miR-19a and miR-21 in Cowden syndrome.
hsa-miR-21	glioblastoma	up-regulated	Northern blot, qRT-PCR etc	2005	MicroRNA-21 is an antiapoptotic factor in human glioblastoma cells.
hsa-miR-21	hepatocellular carcinoma (HCC)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA-21 regulates expression of the PTEN tumor suppressor gene in human hepatocellular cancer.
hsa-miR-21	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-216	nasopharyngeal carcinoma (NPC)	down-regulated	microarray	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-216	pancreatic ductal adenocarcinoma (PDAC)	down-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-217	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-217	nasopharyngeal carcinoma (NPC)	down-regulated	microarray	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-217	pancreatic ductal adenocarcinoma (PDAC)	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-218	cervical cancer	down-regulated	Northern blot, qRT-PCR etc	2008	Human papillomavirus type 16 reduces the expression of microRNA-218 in cervical carcinoma cells.
hsa-miR-218	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-218-2	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-219	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-219-1	hepatocellular carcinoma (HCC)	up-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-219-1	hepatocellular carcinoma (HCC)	up-regulated	microarray	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-219-1	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-219-1	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-22	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-22	acute myeloid leukemia (AML)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-22	Alzheimer's disease	down-regulated	microarray	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-22	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-22	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-124a	Alzheimer's disease	down-regulated	Northern blot, qRT-PCR etc	2007	Micro-RNA speciation in fetal, adult and Alzheimer's disease hippocampus.
hsa-miR-16	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2007	Abnormal microRNA-16 locus with synteny to human 13q14 linked to CLL in NZB mice.
hsa-miR-16	gastric cancer (stomach cancer)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-15b and miR-16 modulate multidrug resistance by targeting BCL2 in human gastric cancer cells.
hsa-miR-16	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-16	serous ovarian cancer	up-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-16-1	chronic lymphocytic leukemia (CLL)	up-regulated	Northern blot, qRT-PCR etc	2005	A MicroRNA signature associated with prognosis and progression in chronic lymphocytic leukemia.
hsa-miR-199a-1	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-199a-1	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-199a-1	prostate cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-199a-1-5p	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-199a-2	chronic pancreatitis	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-199a-2	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-199a-2	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-199a-2-5p	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-199a-3p	serous ovarian cancer	down-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-199b	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-199b	acute myeloid leukemia (AML)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-199b	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-199b	chronic pancreatitis	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-199b	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-199b	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-199b	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-199b	facioscapulohumeral muscular dystrophy (FSHD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-199b	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-199b	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-199b	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-199b	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-199b	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-199b	polymyositis (PM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-519a	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-519d	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-520c	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2008	The microRNAs miR-373 and miR-520c promote tumour invasion and metastasis.
hsa-miR-524*	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-524*	psoriasis	down-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-525*	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-539	autism spectrum disorder (ASD)	down-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-542-3p	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-542-3p	uterine leiomyoma (ULM)	up-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-542-5p	uterine leiomyoma (ULM)	down-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-550	autism spectrum disorder (ASD)	down-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-551a	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-563	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-565	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-572	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-572	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-582	uterine leiomyoma (ULM)	up-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-594	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-594	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-598	autism spectrum disorder (ASD)	up-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-605	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-608	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-611	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-622	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-627	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-99b	polymyositis (PM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-99b	prostate cancer	up-regulated	microarray	2008	Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer.
hsa-miR-99b	psoriasis	down-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-106b	gastric cancer (stomach cancer)	up-regulated	Northern blot, qRT-PCR etc	2008	E2F1-regulated microRNAs impair TGFbeta-dependent cell-cycle arrest and apoptosis in gastric cancer.
hsa-miR-106b	Alzheimer's disease	down-regulated	microarray	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-106b	autism spectrum disorder (ASD)	down-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-106b	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-106b	schizophrenia	up-regulated	microarray	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-106b-1	hepatocellular carcinoma (HCC)	up-regulated	microarray	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-107	esophageal cancer	up-regulated	Northern blot, qRT-PCR etc	2008	Distinctive microRNA profiles relating to patient survival in esophageal squamous cell carcinoma.
hsa-miR-107	Alzheimer's disease	down-regulated	Northern blot, qRT-PCR etc	2008	The expression of microRNA miR-107 decreases early in Alzheimer's disease and may accelerate disease progression through regulation of beta-site amyloid precursor protein-cleaving enzyme 1.
hsa-miR-107	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-107	colorectal cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-107	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-107	gastric cancer (stomach cancer)	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-107	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-107	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-107	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-107	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	MicroRNA expression abnormalities in pancreatic endocrine and acinar tumors are associated with distinctive pathologic features and clinical behavior.
hsa-miR-107	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-107	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-10a	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-10a	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2005	Real-time expression profiling of microRNA precursors in human cancer cell lines.
hsa-miR-181b-1	prostate cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-181b-2	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-181c	acute myeloid leukemia (AML)	up-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-181c	Alzheimer's disease	down-regulated	microarray	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-181c	glioblastoma	down-regulated	Northern blot, qRT-PCR etc	2005	Extensive modulation of a set of microRNAs in primary glioblastoma.
hsa-miR-181c	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-181c	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-181c	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-181c	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-181c	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-181d	autism spectrum disorder (ASD)	down-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-181d	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-181d	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-181d	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-182	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-182	epithelial ovarian cancer (EOC)	up-regulated	microarray	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-182	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-182	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-182*	non-small cell lung cancer (NSCLC)	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA signature predicts survival and relapse in lung cancer.
hsa-miR-182*	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-183	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-183	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-183	retinitis pigmentosa (RP)	up-regulated	Northern blot, qRT-PCR etc	2007	Altered retinal microRNA expression profile in a mouse model of retinitis pigmentosa.
hsa-miR-23a	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-23a	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-23a	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-23a	serous ovarian cancer	up-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-23b	chronic lymphocytic leukemia (CLL)	up-regulated	Northern blot, qRT-PCR etc	2005	A MicroRNA signature associated with prognosis and progression in chronic lymphocytic leukemia.
hsa-miR-23b	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-23b	acute myeloid leukemia (AML)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-23b	bladder cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-23b	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-23b	cervical cancer	down-regulated	microarray	2007	Patterns of known and novel small RNAs in human cervical cancer.
hsa-miR-23b	glioblastoma	up-regulated	microarray	2005	Extensive modulation of a set of microRNAs in primary glioblastoma.
hsa-miR-23b	hepatocellular carcinoma (HCC)	up-regulated	Northern blot, qRT-PCR etc	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-23b	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-23b	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-23b	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-23b	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-23b	serous ovarian cancer	up-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-23b	uterine leiomyoma (ULM)	up-regulated	Northern blot, qRT-PCR etc	2007	A micro-RNA signature associated with race, tumor size, and target gene activity in human uterine leiomyomas.
hsa-miR-24	vesicular stomatitis	down-regulated	Northern blot, qRT-PCR etc	2007	Hypersusceptibility to vesicular stomatitis virus infection in Dicer1-deficient mice is due to impaired miR24 and miR93 expression.
hsa-miR-24	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-24	acute myeloid leukemia (AML)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-24	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-24	heart failure	up-regulated	Northern blot, qRT-PCR etc	2006	A signature pattern of stress-responsive microRNAs that can evoke cardiac hypertrophy and heart failure.
hsa-miR-24	hepatocellular carcinoma (HCC)	up-regulated	microarray	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-25	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-34c	ovarian cancer (OC)	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA-34b and MicroRNA-34c are targets of p53 and cooperate in control of cell proliferation and adhesion-independent growth.
hsa-miR-148b	asthma	normal	Northern blot, qRT-PCR etc	2007	Allele-specific targeting of microRNAs to HLA-G and risk of asthma.
hsa-miR-372	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
